id,class
3aa722e92,80
13c93a228,50
f7769c0c2,49
d05195f4a,73
19ecaf8fd,42
8de9e0398,70
a6943a043,16
d5209370c,102
f646210d6,102
bf567fb8b,85
f2a903d04,73
a920cbd97,84
4455f7687,94
996395555,29
7429bdb2c,86
0a4c5862d,71
f464cb404,13
586d9efbc,98
6b890cc33,68
bf50fdaba,30
f55445f3f,64
5f941d16e,71
e8bb511bf,85
f213139b3,47
b9796c6f2,42
919b650ac,14
34f02ad7b,50
124ca4912,88
6882d4680,102
788df8462,4
a009f86d0,79
998d1a2f2,4
d7d37b396,103
ae893e577,88
d712100c5,49
002f2dc93,13
d5d357123,19
bdc18e8e4,75
c7dbd0103,103
816874273,68
0fe551ad9,13
b985f6b3d,4
008cdb402,14
8c981ddfa,2
592f6d2c2,0
6ce802f92,77
44d96d769,74
33298bd5e,10
4bf54b38c,57
02a5636fa,94
f3c78ce73,47
0bc6cc3a8,13
2cac78729,53
4bbf42c15,87
4df03ecb1,81
e959a6fec,13
f75b161b0,103
ee2489802,0
fa5d97882,96
74031eda9,69
c1f671627,14
5f4105b8e,73
bf95e4228,12
2a3e60915,67
86fb42672,73
b113f15c7,73
59fe2122f,70
0223ec381,59
0380684d7,74
bee95594f,83
4be3685bf,4
93eb3d572,28
af89791c4,4
80b2b568b,103
d3786b9df,77
4522b2761,53
bfcaed156,103
cb5acf177,84
455c8d0e5,93
3ca065427,0
988df83a6,49
28722a0df,25
a4e33e83f,75
eef7cbe87,68
0776e7f15,10
337c58d38,53
61d7fd206,85
230bc25a5,67
1749b44a6,74
0d74bfbc0,67
ab007ceb3,90
acbc35547,79
e04737bbc,90
645598b5b,82
77104edd2,48
9e60a3cc8,2
d061a7d47,73
bac275cc7,103
59e5d2559,13
3b5372b24,46
128050d92,4
eef06a58e,86
10283c1e3,48
2ecee954e,77
a2d304abe,51
34ef17804,0
f6a9ceb0b,42
8c7424e60,67
f87de5e6f,25
dca4e843a,48
5980c5780,13
d03fd9996,103
cda6480d5,0
2c343ced5,75
e5942acd0,39
81f28bf1e,1
4777d2cb6,53
b3f2e6c03,4
dd9be833b,49
49a76d53e,37
9c1842d79,11
253feb9cd,68
9ef82245f,68
11aab82be,65
b58b7fed5,75
66967b306,103
972be0577,0
79e1fc6a3,88
416cda928,56
b9c5fa02d,13
7ba830435,103
85defd3b7,48
e1df547f7,8
0cc2d41a3,94
d4ad1dd77,102
844822136,24
be3e87d9e,46
fcdb9bb81,9
473ebc9c0,11
c0d1b2bb9,82
2baf5bc03,10
b2355fae4,103
a0941a95a,58
a8873d283,71
98396df03,49
def26395a,67
5f01f4fa5,49
4433de038,25
76709615c,102
3082154df,43
eca269aa3,4
c74d2d714,4
6d19111f9,48
bd5685ec4,15
6ccf89455,67
6085533d5,102
89fc34a88,76
124fbd596,89
b2be5e590,14
fbd0346e0,68
2eedb7958,0
01681f2d3,6
52d4b2ded,4
bd5b64dea,50
6f982987f,53
ac041240f,0
7260f688f,47
638d9d553,96
6b0353500,41
49b43b2e7,49
009f58779,79
07e2f1f72,50
c810a4229,94
768d8b216,14
2e3de9f3e,4
241e10899,4
900296db5,13
c982d6ec0,11
b21b1f48b,0
dc3a9d88f,99
98150d095,14
3b76545ae,29
ce562de02,13
633c0f059,91
6cd06c2d4,65
371055fa8,90
dc2c75954,69
75195333f,96
0669bff28,21
26d411245,0
d31eae4be,13
3355d8427,24
f5fbfc6ba,62
468e3fe5c,68
883a8f557,12
eb56f5e41,48
d693940f6,4
069c4b009,67
becb75741,67
844c1c785,103
c2adbaf3d,74
f053e3669,93
dfecb43dd,90
b626bca31,80
a4cb76142,50
176658acc,50
df23529c9,48
fd952ea7b,46
0d53f740e,62
c83c8a2ba,4
c0a5c5254,83
97eaee390,20
446d415bc,95
734844d49,52
9a1c99533,81
582bcf012,28
13ace3386,76
5d7ea2a4e,73
d8a7fa5eb,12
afe0732fa,74
eb37cf838,53
dfb89816d,72
c9b276921,40
d789dbda2,47
35900d153,48
a4f4e1b5c,64
ceb76628e,50
6a264cd4e,49
5973a3d8b,75
11c08a3c7,59
05d1309a7,74
622b2f478,103
28fe29f7f,93
3bbb2b4b2,4
d9b7f4e1b,50
84f3b7f52,53
ad8d7d0e2,87
f64447a95,67
e53a230a6,103
b912c2b04,67
c3f4878eb,14
8e8790176,87
cfe9da98c,76
2fea3b68c,67
5c9bb57aa,102
8cb013b67,26
b7569bf68,67
33faa2412,28
39bfacc04,102
9a3687001,47
1f8f31c93,47
1a9533b3f,4
9062cd322,25
d266c2371,71
99c9607c5,84
f8a93594c,40
800ba57a3,49
8bbf612f6,75
4de2ab4ed,17
13f653740,48
fabcc9aae,43
acb1f2b56,0
f004d58b7,45
443f46e6d,77
564d3d833,40
5b499db13,53
912dacf2d,67
8142f0511,77
456e56697,7
69626777f,10
d53898be1,72
69d1b6955,67
c59d1e148,46
57d9839b9,0
477ef3f55,103
c2abfdf71,12
db6fcaa68,82
cfaadf6dd,68
2f207cc7b,5
835a227b5,50
114daa071,24
8d3490a8c,74
821b0654a,45
344e3c2cf,103
5e677646e,103
66b08ce91,67
4f037e1ba,96
cb3c345f8,83
32d6cf395,73
ff8f0ab54,79
683c89ad6,53
737591db4,75
a3c75f650,87
84a5c9391,102
6d01a3020,57
62f9853ef,27
d77bb82bf,25
4ad655f8f,29
7f39b7f41,0
b8bdd84c3,18
2b7c468ea,103
fd166bd1f,103
71287f4f0,69
5a91c3bb6,53
e2d761008,99
9d0aafe5c,51
d2e51d07a,63
a4c02a608,68
69fe52f0c,7
f5ac75721,48
d01a3a1ce,103
f51319009,103
47526467e,89
0fbf10bd6,103
b71cc5d33,102
b5a4b9121,47
148d02f93,60
935dfa44e,0
5b20b4dd9,57
bb6728cce,48
6075e7b83,82
60c42e170,4
7ce1f4f59,80
5c898edef,68
40106ce82,10
ced623624,78
a968a1d58,75
26c096115,73
535838339,47
7df8d7afe,96
1cf48c5a7,67
c3b0ca391,50
04c5a9b34,13
69cd6b172,4
87dd1f434,4
7b2c7a6e5,45
f16a1f7d5,4
baa7ba9e0,63
0fff5aa63,92
870ce4550,67
c02389393,90
2383bca0a,36
086c98917,81
d87c1ef27,68
e204762f4,68
579777cef,4
96a9bbc4c,75
f2a8927df,29
caccb0ad1,49
96c8d3dac,93
bc86e8f0b,4
0b74b12c7,53
9d116283a,29
5cb366de7,10
02faffd75,49
37fb35c6e,8
9684dd52b,4
89fb2d620,14
265451a27,100
9dcbc8355,45
cb8b60556,103
0ad020354,67
3f7f09678,46
e701d8ea3,67
ad4f60ad2,99
257717273,42
6bcec7b37,90
f26ced192,53
db8c36356,32
bac9d8c09,56
5ee8b334e,67
37ebc4aee,102
976f8d1a2,67
4d60d0664,103
481abb085,88
bcf1d6f4a,48
f27189641,102
1d4c2fc07,103
a713df117,16
3cd26d744,49
0f5c4e20a,53
454f29c22,68
75acea943,21
76f834d30,36
cbd2aef5d,14
9d8b416bd,94
e4e833481,72
73c9a2473,94
2cabded4f,13
bef450fa9,75
5a460b3bf,49
5e0c79d04,49
145f8fc81,100
7a1319530,0
6a50cd429,68
10e78bd47,48
264b7decb,0
e2ff48389,50
c34196d6b,49
0b1f53220,66
5c2abd090,49
05759ec35,30
e145a7d06,49
ab4b999b3,91
d99f36560,4
3527b738c,29
17d32a817,68
1f3afa4bd,57
4d9f71669,62
b792befcf,48
c49027382,4
ddf0b6164,71
58adc96fc,77
62a4dec60,80
5e491694d,2
0fd79e4f9,102
d5da76742,45
36cf9b5f7,73
d3d90cc8c,69
11b29f5fb,103
1fde64a29,49
36d96d3bc,95
9d55f0c88,73
0b994ec85,74
dc7ea8e2b,86
de68922a6,52
0f1ee7f17,73
8d32158be,74
25db730c9,9
a60773541,49
8cec4123c,73
a213ed74e,43
9269f21b6,49
8bb2afac3,48
15c01a71a,13
38b1b67a1,0
18ebda62e,8
8a0b5745c,43
07090ad12,56
162414c05,95
fcef42180,73
4048a60aa,72
87f18c9d4,103
f05f3021b,52
6423d8c6c,71
5f59000db,103
b7c8cd1b2,88
91dce1fa5,1
9ee2e06b5,53
63df111ca,45
cb114ee6c,102
532cf1e66,28
a4eec126f,13
3df5dcd73,75
4a4feef13,72
792b70bf4,67
d27f57f2d,14
2e527503e,103
cb4c94406,103
0e461c7eb,36
c7d945690,6
6a5d3cef6,56
6dd721c2a,87
4908f2027,57
a31132968,41
145ee2298,82
9573f0963,13
6cd8182c6,57
ad184a326,68
06347f569,61
2c5ff6cb6,97
3e11f7a5a,77
c814d2f4c,73
d2b5b1bf9,79
499b6ee90,53
b8ce4d64e,102
cad194fc0,49
fdd150209,45
ec09e33dd,39
ca9c7e4b4,14
4aa8d1672,102
640e9fc13,73
d1b5ef195,103
be1d74d1c,53
9d30ad269,75
69cefb503,77
82c3cc7ac,14
f1dd209eb,85
91f1676a9,80
021d509b5,2
fc1296eb5,49
8420b73f5,72
c39737c88,73
07bcfa245,84
2440b98f7,49
6b890ac84,39
76ddd8e7a,89
23cf84e80,53
fca7aa902,5
9ff514329,74
6080b9a86,10
e0197fe12,96
dc6119a1b,51
348ac1f5f,44
5c74bb18e,67
ca0a6780e,85
4fb904c15,103
3b3a6b98d,75
72812f97b,93
9fcc0ac14,24
9fc9eaccf,49
74e7ef2c8,74
7dfc8e458,74
15bc67799,103
c18a9705f,95
2479bafb5,53
0171f70db,48
88d355d2b,45
30d7b453f,39
a8c3b2fbb,12
78fe4b9af,103
1c494bc38,4
b9f4702d1,78
208c533f4,74
8f948a71b,48
487348b52,53
09bd097fa,46
40ed77ff3,103
e91651962,88
8cca2061f,94
91dfe1ffd,53
982d8e84f,74
25f7bd976,49
df228787f,5
3c0a7b654,89
0d5cea88a,53
d2b8234d5,77
3b696ea93,50
213867d41,49
c34dc9ef2,67
c8de81611,73
8811be210,29
84e215be2,49
f738ad91c,75
1db1aef79,13
799f8cf2e,48
778b01f23,95
da7f6b401,73
90c570526,26
51c7ad8a4,36
a8abe0a23,68
37eee1652,67
f500d7767,4
ba2eb60f6,4
e7353b7a0,103
9ba3b3063,49
6401f7b2f,67
fc90b522e,67
7abdc39d3,48
3e1da74a4,7
99c444a07,67
ffa9cdf21,45
32981deb9,49
c1b03eb28,103
e9666f2ed,86
a10ccf83a,0
2eb18e363,73
421ba9134,51
d71e8d891,22
1a1d3b54e,82
0fcb4b0f4,49
c669161dd,49
39519f99e,4
effd65722,52
5fdc65bc4,40
3d16b8a51,73
db7174ad0,48
ebf2dde6b,59
6640225f2,4
8ac248b40,46
382f5d203,41
8f3b64867,98
afdff6668,49
d1059aa02,75
7d8d27ade,102
258e9f86e,103
b856b77fa,86
95357980d,67
59b05fefb,53
fe09070a2,103
ed9ae0593,12
5e7dc7f85,53
cd3352d5e,73
17b20ce1b,53
f944df660,53
b71786241,72
719a9d37b,103
7581e896d,77
d272804ee,31
c7d2789b0,9
6b61c8ec5,8
38696ed90,74
85d01762e,54
ab1bc290e,40
f4bb15c64,68
c17c39fd0,48
c32b092ab,73
aa8c4da4d,76
120170cd5,103
2c0a9b5f2,73
46785d5f6,74
b68215ee6,67
9683103d7,69
a9d3e749c,74
58c67c4bb,102
ccb52d8f1,100
dc6ccef7b,90
6fa04bcb9,22
11e13410d,82
f787da97e,75
58169ecd6,4
3768cc4b8,103
f5c0908f3,48
ff27f4614,0
80e393e0e,68
ea161a175,73
f9e061356,42
8e2b15ac5,73
e95c591a3,75
aa33b4752,62
1dbecb54c,73
131753ccd,103
0e9022e45,67
2df702db5,36
fea86bc8e,89
4757d3644,70
9504c9deb,96
c082c155e,0
d88ecae1a,103
6101a382a,69
b6acf75ec,49
c0ece19cc,80
55b01de07,29
cd47ce9c5,77
88fa69125,45
04a00aa9c,49
771cda6a5,28
93e382bab,75
d2c2fa27f,51
88d892c65,79
68df49273,0
c304ae9c4,53
c908587ea,55
f511cd704,13
77457088d,71
ffd7b1e02,49
9fde7af1c,64
40921ea08,53
4df8008eb,101
e9ff7e51f,98
89a94e910,75
7fb6defd7,52
c419aafe1,13
5ae6170e9,8
20b59d363,14
5a683bdf0,102
ba021494c,24
9435244cf,50
95620550f,13
0fb9e246c,33
e1cb125d1,21
bbe3157c2,67
4b36a30bd,49
e66502b1b,91
7d884705b,51
5bcc1b26e,62
4b23dd56f,61
1b89c972b,103
415df5584,67
5b0d485ea,98
5836c5d8e,8
3df591127,43
6121236b6,13
c5e5a11e0,81
2e2b3bf6a,103
c78b21473,93
1a42fab2d,41
8d96b8ac0,49
fc19f0a64,10
ef397a04e,90
a4ba20c02,47
27d1031e3,86
26102f853,103
1ce338125,49
1081c826d,14
669852e87,49
a4447457a,72
5075097dc,68
4bc7bf6f2,19
d28a0691b,83
bc6d11be3,0
4bd1cfcb4,53
787c425bd,79
e13022c5e,13
c2de5282e,103
839ff4866,44
f09e825b9,90
52bf5abba,7
a661a6b73,61
c953cb05d,68
f5beb3618,88
f96406605,52
cb1f438ab,47
57b568d5d,75
5e7651517,53
64bbcbb95,4
c263af973,13
63f939aed,42
ce5fa0cdb,75
964dde30a,72
4d8d94a42,96
834222170,4
eff5c5b9b,50
9be197351,53
52256601a,4
890e28e66,93
b0be71a19,52
b57e85c1f,90
97d087e1c,18
022df18ae,48
a0b03f728,103
f3855ea90,78
b055c1a46,48
3ca78c69a,63
7824eba4a,103
941ce96a0,56
eaf59d3cc,76
d2c850cea,4
f12ef104d,46
890cde075,69
1e7124454,56
b18faa758,45
94886e54a,4
8e0b02b8d,1
745272f8d,47
9e674deff,3
051436c8d,77
728b4d725,43
a8ce42fa5,11
12f134894,103
6651717e9,48
ec14c909f,0
f4716e61e,103
2f32a77c7,8
00f467a20,67
fea9f285f,25
44662bbc3,90
ed5a21f68,102
ca3877f26,44
5c476922a,102
b56ceecf1,46
174325258,50
91bb5f782,47
cdac06898,93
9dd16ed99,103
efe6f3717,80
e23235893,43
8dbb25a69,91
0e637cc50,14
8202e5a3f,91
33b6bc9c1,67
1e7b72d7a,82
d2c15d985,31
ae5171cd4,74
7e4b7375b,82
5417eb1e1,73
183b8fb1b,68
db53bbd2c,4
5875c846a,68
67b9af412,13
a928083c1,102
b674c7f20,5
c63a1fe51,67
2c0fad3f1,41
3f1b1fcc8,18
270c4f4b0,56
4f7a9d61d,78
382e5bc97,53
96b9e627a,61
577703da9,54
a5ecca5d1,4
08b0a0b58,102
9cb7ed2b3,67
85475899b,57
51f6d4e52,8
34a8116ad,102
6585b9f26,73
3ad559a12,67
0810af0c7,91
1bc7d6d88,87
5777551c6,73
9c4ab7cbd,49
7f82fe931,10
8e2dc3db2,20
74460bf46,29
83ba1134d,45
48984c31d,102
40b43708b,84
30e04ca06,83
a7c17d039,40
5572bf101,31
bdaf819ba,39
ad08b6291,8
22ca52dcf,42
5b4ff292c,13
16181704f,43
39e933656,102
e04d72f46,49
d3ebe5001,25
cc84644d3,67
653fb8ebf,89
6c1b6fa83,82
62a1d2453,67
cd7911440,53
42ddafefc,20
5db9d7d2b,4
f85a0068e,58
08acbb1f5,30
a7700829c,73
aa5259bbb,28
0cbd5c8cc,73
60f060409,75
710d101d7,75
3912ede1b,94
edf0078e9,76
c81d75777,68
50d8593a1,102
b7331efb4,56
a186bad70,30
6c5cc5b2e,52
3b67ecd1b,13
8d2d53680,97
ba0a13d2e,80
4e10ced4f,88
c2fbeda9a,87
75af0c484,103
b5cb5398b,98
da49aec2b,84
75914e3ef,4
c1f8029b2,81
0208be355,45
331113f07,18
ce35ed0ac,49
821da2c4d,73
38a65d894,75
0da6268a0,87
2454711ef,103
381ec3c27,67
0a666e4e0,47
4a09474fa,5
3eb6bea3e,75
5b30678ad,88
96d9798a9,90
6d144069b,79
69dca52fd,102
3a8259873,31
ec8d5cbf5,73
f8af0b9e2,67
16b54dbf7,70
0a66106c3,103
b5a102dad,73
e6962886a,67
c5868e745,4
df27363c2,75
a825e2563,47
dfa055768,68
84351da36,18
123bafa6c,4
d7ae80376,73
898dce796,72
44767f95f,87
4e1dd9896,4
f1386497f,4
a64ca7ef8,40
b85ad4cc3,103
7ae45637f,67
583d6f70e,94
eba79a67c,22
c94738631,102
d22c74e6f,13
9e94ce734,101
5ca409bf1,4
20b4c1a8d,94
a4576350c,24
0c3ed4224,81
43491be70,0
a82f58fbc,24
69592331a,21
f7e5795e6,4
a4fb5c347,35
61bb6f401,56
ba7ba1f13,101
2e37ff2b0,77
2aa8cf8ac,68
820b336bb,49
a35a6bb32,4
96f463eea,49
466b7a9fe,73
576f010c7,102
d90c2dea7,4
46ab8f469,60
1a86b8791,48
6a2b2dcf6,4
88227e7ef,73
84103d2c1,4
84a77da84,93
1ebd111d7,80
05a78a623,67
d6f158713,67
834405470,49
ddedbf5ca,77
cc9856ab8,79
826edace9,81
b1b4f01e7,18
1a100982f,14
2e357021a,73
7196ce765,13
2e093880f,73
b702e0354,62
f088f6289,67
9b103e703,73
55b232f55,67
a4dfdd629,14
2a37c4c20,0
7aa9e5a5f,12
460f6f341,45
101e8f43e,50
339667e13,59
7435d3610,45
4ce4e78f9,56
e625e38f7,14
376d897f4,50
eec44bc89,28
bafa59b58,67
b125fbee7,73
28cbe4b3d,49
b117c3305,49
6146c2518,102
87b3695d6,94
a70ebcb39,67
f1f44fef9,24
636f7a568,73
851516f64,53
c10166458,83
71343d9e0,4
56222914a,52
33e51852f,47
645d3a392,14
bc55ed5ed,102
f234c9b05,67
06c8eb700,102
50048005f,73
a271fb330,13
66f255417,103
135baffa7,73
b1426b6ef,2
33101c67b,10
f3ccdb5eb,10
cee1d894e,4
9e58cda1b,4
433a38722,65
b63908d2a,53
656582468,96
bc49a11e4,88
aac653422,79
a204f4163,4
720fa1d35,45
db825f29b,91
088211be2,49
bb48045e5,4
e08bb6d5e,75
48e2e0022,103
722677428,50
e01d38585,46
bc6b65c2d,4
5523d834e,14
f569d38a7,49
c867f268b,48
c4b64f58c,49
f1444b50d,70
1cc9a9323,91
4e64734bc,96
a4fe05a56,86
f7d513f06,57
f4fe9ea39,99
8afa74cbc,67
81aa0b6f8,103
f3e5ec6e7,91
36891d56c,102
0ba022dee,68
76c6814af,49
aad3a0905,47
6d3c1b8ef,24
0b89356c5,91
d69a9debc,64
560caf340,73
4433e1281,64
a86500bf8,10
22b05ac4c,75
e2d4d0f19,4
38231b709,36
cab8d3f58,103
ef544c671,103
4b4a17b02,4
67d6b5abd,0
769c44ab2,46
4b67deeee,86
d8f105b9a,74
5ee927064,50
7b928e4bf,73
e822cd33f,44
11b35a672,48
fb68d363d,102
af400d589,68
d3ae25219,86
a670faaad,92
ab3a29d3a,101
daf41acee,4
209beefb4,73
1adfaf287,83
a0eb5e7d3,68
74a2efad8,74
6fcd4438b,71
e93d00932,102
2c3da4997,12
18bb223f1,103
07c833912,71
03aef555c,99
0a2354084,9
1b1bc08b4,9
b74907c77,86
91e98aaf2,48
03dd26f07,48
54409f431,46
d829a6276,2
7236edc16,0
bd665bb51,94
4d00f8c37,62
269b8b1aa,51
d86f2964e,75
4bc9237ae,67
e4183c806,49
f4c803f94,103
1ad5db12f,67
aa6df6c7b,87
7a5431db9,102
d53504c85,94
bb7701600,41
d0179cd8d,68
7b36194a5,71
4e96f28c3,32
117c597ef,67
3d26097e8,103
2ba088ac5,73
a4db336ef,56
17baee946,49
3c13d1847,77
4dc36c667,71
4324fdc81,0
cc539c762,30
f863b79d2,4
d8f6f8212,77
b307c560b,90
83c2d74af,75
081779537,56
892108ea8,4
23b8e6524,87
6364a839d,20
7945850e4,65
cd9224302,82
393b7526c,22
8d9e38435,0
abd12e87a,91
90e2c806c,82
3c42466ed,41
09c99757e,67
c1c88dbde,67
e2bd41a1b,71
fa9192b7e,64
f4fa8176e,59
600daf5e1,4
4845f8f10,87
c6bcc0c90,49
f3a7dc3f9,4
5f45d4648,16
7f4104d8b,67
3ad96f2d3,99
7a22c64cd,24
75bd1bbe3,67
8c7f2621e,79
d231b88a1,0
c12697faf,41
a72d7eb21,75
b8c948327,53
7bb586edc,80
091fe935d,99
934e77e07,49
620a4061b,4
cee70e12e,49
a659ee14c,47
b9c673b19,13
fc90ef079,67
1ecaeccd9,30
ca39d4429,32
662b15873,48
ea19778b4,52
aed8bca77,53
0d88d15db,83
b76721636,75
d16dd11e0,67
2a1bbce6f,36
ff70fc3da,73
187d49a80,4
aac1c7cc9,22
b1c5a93c6,53
c5a12507a,28
b3e123ea3,5
8b4d8c178,102
9b242290b,49
0ede20f3e,48
6b7ecabd3,41
990c3cde9,93
a54e5f552,75
2ffd22aea,72
3cfdc74f0,89
4d990c3e3,70
d7720e104,102
62e5d04bc,67
63c32546d,73
1b380982a,96
bc13b03e7,67
f161ab624,45
74e11ad61,13
331f6acce,4
8af0d8835,73
f727d1fc1,56
b140e7607,95
4b8a2ffce,7
c2217de29,80
fab584296,63
4d13e16e9,24
96a052299,81
1108ab037,74
0d1ceb5d3,8
583a9f2b5,103
9c83b43f5,102
b5a447482,39
94fcd9dce,4
678df38df,93
24600d163,102
2559747e1,50
48d47497e,5
897ae2e14,45
9abc79688,16
674808588,25
ede2c6efe,74
d305e3e43,103
2ff9427ef,11
e75c5e335,1
4b21dab1f,67
0b7b3366a,49
8d9ef4392,68
8a8f9670b,4
898af4a85,103
4bd19067d,75
f143c5f7d,13
adf1f8fe2,80
b39653412,60
27da940f5,103
ca52ad3f3,13
b4cc65f49,67
1e285acf2,78
78c9b0142,53
495929d56,91
d2768602f,4
6e8514526,73
da7526bb8,24
d865def23,93
66c5f7698,91
7cb45c367,53
adfd38962,49
a7bf5ef64,7
246f0626f,54
6d6380b72,48
9dd8b0064,67
71b8f7852,96
af0b7048a,31
a65312177,53
8501a2228,4
a3c79facc,96
04c5e25fc,64
fe520ad99,13
cd27a307e,80
c05726dc9,8
7181f04df,47
16a83d478,80
144700672,49
8e9f539b1,72
656f0477e,94
793b33476,49
1c207476c,103
ead4467b1,98
08aaa094a,0
8e1902ab3,24
36f6691f9,49
091033b4f,89
0967778ea,69
879e36eba,84
4981917b3,76
a9f606383,55
cfca52a11,24
44def5f95,68
4ca2c7310,0
6dde23315,67
e0b27a451,14
daebe424e,30
b9cdebfdd,67
8b3d7168b,7
0aeeac823,74
a26940c10,47
d840a3abd,94
ca81d7f91,64
c5812f945,59
c2cc0efae,4
2100ae926,103
91b5c7d19,73
353908c9b,75
66020672e,4
604543384,47
cce25ed02,67
0081836e0,43
8ad316af5,49
6d5491816,31
767b8e80f,54
3b31a64c7,86
474845eb1,8
d29f2ac4e,68
b0714a794,53
0407bbd72,96
3ef84452f,48
67ee46d31,74
3fdeb3f14,14
6c6623e7c,50
0f358fdcc,91
e027a8ca3,28
80e2bfed8,36
21ae63ce5,68
9a96dfb00,83
56a58dbf2,67
2394fede3,87
2af84a41e,67
b990864aa,53
35af7d646,99
f66e6cc2e,103
d990fd692,41
67dc85602,100
b74ca7d25,41
e38bc32ae,87
b1eb83df0,68
5a599b8d5,89
5d832cbf7,40
9329338cd,19
48023b9b3,30
1b387b430,49
a442b1ee6,67
feef15546,47
03b013ac1,103
40db831d2,95
f548a199b,67
e62a19f7d,33
4ef593cf7,43
034d9da10,67
766d07460,68
4e7678386,47
9a14147d5,18
fea12bcc1,88
9ebbe29dd,68
b45d11d7c,28
efa712e3d,49
a0f715d7a,8
d13aa7fc1,67
0d4a0e065,29
475bc8dc7,73
cc0d074ba,14
6fc5817dc,49
1b4e19822,78
23d95bd7c,103
28ffc48cf,68
965fb6dcf,0
28207723d,0
193b6ed54,74
73e78a16d,10
8ad14a565,75
1cfe5e960,103
293774b10,95
8823694a3,24
d3b0a35d7,103
db65ef66e,14
de38511d8,67
0be15153e,40
f83625604,10
827bfc6d1,84
b6852ab17,102
8054ed04d,53
8f133ae75,42
f9f7dbb8e,68
a4973813e,96
fa33409f2,93
a79fa1919,37
376f108f7,4
b5930ec07,4
7a0b1e452,33
eb1b10485,50
22da991cc,4
8c8aa6318,67
7dff414e7,90
c133906b2,5
58a53c570,67
270f5575a,40
0bf3b52e6,5
1b7426ebc,95
b33ddc759,0
a5a8f3524,4
2c0fbdbb0,72
1f8544a19,103
a5dd3f4df,4
fc4cdfe80,74
37473a34f,103
e0579817b,102
a4bbdf32b,5
5b16f36c6,75
a4dc823fd,103
8d0077473,94
a7497b472,103
894fab56a,30
e51b79fbc,62
901d2422e,103
1064739bf,17
f245107eb,78
c3b2409f3,14
585fc7232,40
e98bad80d,76
fdecf4225,14
29bd7d95a,73
062bee8dd,53
2150969ae,16
4e9f83ee8,49
34e783d64,103
968a13b68,67
ec2fd777e,49
f37375743,4
2e4c3c9f8,13
1ae525638,46
3a608d560,5
97d25718c,50
54814e797,83
81575b5d7,103
13aea93be,94
fc1365e82,69
3387d4226,50
1c2aa8e70,103
95b2e9bd5,4
8c3651812,87
b4f37e7e7,76
858517165,67
6b6638775,8
bcc927a6e,48
48f97b190,47
9080c3970,103
7e3aba81a,74
9b1e7e170,80
52617d6d3,76
608d9ed39,50
01f920a1b,67
2714d259b,103
90343adba,46
b555369dc,29
87af26385,13
e397ecce4,28
cbbbca633,7
bf889f736,7
af52eaa22,50
4627444db,13
359447a3f,94
990c452dd,50
0a1c80fe1,49
b459b23df,70
a2ee5da9c,47
603774ba2,62
a78764e3e,76
1b95f3dfc,0
cec4657ee,71
4e9b61615,73
